month,day,hour,value
1,26,500,2.4
1,26,600,2.2
1,26,700,2
1,26,800,1.2
1,26,900,1
1,26,1000,0.2
1,26,1100,0
1,26,1200,-0.4
1,26,1300,-0.8
1,26,1400,-1.2
1,26,1500,-2.2
1,26,1600,-1.7
1,26,1700,-2.2
1,26,1800,-2.7
1,26,1900,-3.2
1,26,2000,-3
1,26,2100,-2.9
1,26,2200,-2.7
1,26,2300,-1.4
1,27,0,0.3
1,27,100,1.9
1,27,200,2.8
1,27,300,3.5
1,27,400,4.1
1,27,500,4.2
1,27,600,3.7
1,27,700,3
1,27,800,2.4
1,27,900,1.8
1,27,1000,1.6
1,27,1100,1
1,27,1200,0.9
1,27,1300,0.2
1,27,1400,0
1,27,1500,-0.4
1,27,1600,-0.4
1,27,1700,-0.9
1,27,1800,-1.4
1,27,1900,-1.7
1,27,2000,-1.9
1,27,2100,-2.4
1,27,2200,-2.2
1,27,2300,-1.2
1,28,0,0.3
1,28,100,1.7
1,28,200,2.1
1,28,300,1.9
1,28,400,2.5
1,28,500,3.5
1,28,600,2.9
1,28,700,2.5
1,28,800,2.2
1,28,900,1.5
1,28,1000,0.8
1,28,1100,0.2
1,28,1200,-0.3
1,28,1300,-0.5
1,28,1400,-1.2
1,28,1500,-2.4
1,28,1600,-2.8
1,28,1700,-3.2
1,28,1800,-3.5
1,28,1900,-3.8
1,28,2000,-3.9
1,28,2100,-3.7
1,28,2200,-2.9
1,28,2300,-1.8
1,29,0,-0.1
1,29,100,1.2
1,29,200,2.2
1,29,300,2.8
1,29,400,4
1,29,500,4.5
1,29,600,4.5
1,29,700,3.5
1,29,800,2.5
1,29,900,1.6
1,29,1000,0.9
1,29,1100,0.8
1,29,1200,0.1
1,29,1300,-0.5
1,29,1400,-0.9
1,29,1500,-1.2
1,29,1600,-2.2
1,29,1700,-2.5
1,29,1800,-3.2
1,29,1900,-3.2
1,29,2000,-3.7
1,29,2100,-3.4
1,29,2200,-3.2
1,29,2300,-1.9
1,30,0,-0.2
1,30,100,1.7
1,30,200,3.9
1,30,300,6.1
1,30,400,6.8
1,30,500,8.3
1,30,600,8.3
1,30,700,7.5
1,30,800,6.4
1,30,900,5.3
1,30,1000,4.3
1,30,1100,2.7
1,30,1200,2.3
1,30,1300,1.8
1,30,1400,0.8
1,30,1500,1.5
1,30,1600,1.7
1,30,1700,1.6
1,30,1800,2.5
1,30,1900,2.5
1,30,2000,2.2
1,30,2100,2.5
1,30,2200,2.7
1,30,2300,3.9
1,31,0,4.6
1,31,100,7
1,31,200,9.6
1,31,300,10.1
1,31,400,11.6
1,31,500,12.1
1,31,600,11.8
1,31,700,10.5
1,31,800,8.6
1,31,900,7.3
1,31,1000,6
1,31,1100,5.9
1,31,1200,5.1
1,31,1300,4.6
1,31,1400,4
1,31,1500,3.9
1,31,1600,3.5
1,31,1700,2.5
1,31,1800,2.5
1,31,1900,3.2
1,31,2000,2.7
1,31,2100,2.5
1,31,2200,2.5
1,31,2300,2.5
2,1,0,3.2
2,1,100,3.6
2,1,200,4.1
2,1,300,5
2,1,400,5.8
2,1,500,6.2
2,1,600,6.4
2,1,700,6.5
2,1,800,6
2,1,900,5.3
2,1,1000,4.6
2,1,1100,3.6
2,1,1200,4
2,1,1300,3.7
2,1,1400,3.9
2,1,1500,3.4
2,1,1600,4
2,1,1700,3.7
2,1,1800,3.4
2,1,1900,3.5
2,1,2000,2
2,1,2100,2
2,1,2200,2.4
2,1,2300,2.5
2,2,0,3.7
2,2,100,4.6
2,2,200,6.1
2,2,300,7
2,2,400,8.3
